Temperature_c,Humidity,Wind_Speed_kmh,Pressure_millibars,Rain,Description
0.588888889,0.93,9.66,1020.13,1,Cold
11.08888889,0.81,9.2897,1028,1,Normal
11.14444444,0.93,7.5026,1022.49,1,Normal
22.2,0.53,12.5741,1018.46,1,Warm
31.93333333,0.31,12.3487,1018.51,1,Warm
11.76111111,0.92,7.0518,1018.68,1,Normal
8.405555556,0.76,11.3183,1006.87,1,Normal
27.22222222,0.34,8.05,1016,1,Warm
10,0.89,32.2,999.5,1,Normal
6.083333333,0.93,3.703,1021,1,Normal
10.67222222,0.95,3.3327,1013,1,Normal
11.18888889,0.81,13.6206,1011.01,1,Normal
12.87222222,0.52,19.9157,1011.37,1,Normal
15.32777778,0.73,3.22,1020.3,1,Normal
2.222222222,0.6,20.6885,1024.11,1,Cold
2.172222222,0.46,4.8783,1027.29,1,Cold
-1.772222222,0.96,10.9641,1028.57,0,Cold
9.805555556,1,4.508,1011.72,1,Normal
-6.833333333,0.98,10.9158,1023.83,0,Cold
26.66666667,0.52,17.71,1012.1,1,Warm
14.95555556,0.6,0.1449,1013.6,1,Normal
29.00555556,0.4,12.7351,1014.55,1,Warm
6.427777778,0.77,3.2844,1015.32,1,Normal
7.244444444,0.86,23.3128,1011.62,1,Normal
5.427777778,1,5.9731,1008.76,1,Normal
7.044444444,0.85,12.9444,1023.05,1,Normal
12.91111111,0.53,4.508,1018.19,1,Normal
27.91666667,0.42,9.6922,1002.83,1,Warm
7.222222222,1,1.61,1000,1,Normal
16.51111111,0.99,5.8282,1012.66,1,Normal
36.17777778,0.3,11.0768,1009.08,1,Warm
17.73333333,0.97,4.3148,1017.26,1,Normal
14.7,0.88,5.8604,1015.68,1,Normal
3.961111111,0.96,2.4955,1020.45,1,Cold
31.13333333,0.44,4.7817,1012.29,1,Warm
7.222222222,0.65,37.03,1005.6,1,Normal
12.85,0.9,27.6437,1014.84,1,Normal
8.183333333,0.81,7.9856,1027.63,1,Normal
20.99444444,0.6,12.6224,1011.6,1,Warm
15.08888889,0.77,7.3738,1013.33,1,Normal
7.777777778,1,0.2898,1010.01,1,Normal
0.994444444,0.86,6.4883,1025.63,1,Cold
29.7,0.5,1.8032,1011.56,1,Warm
4.694444444,0.93,3.864,1027.46,1,Normal
-2.777777778,0.71,9.66,1026.1,0,Cold
-1.111111111,1,6.1502,1014.9,0,Cold
3.888888889,0.82,14.49,1016.9,1,Cold
9.261111111,0.93,30.3002,994.25,1,Normal
3.911111111,1,0,1025.58,1,Cold
17.22222222,0.81,11.27,0,1,Normal
7.177777778,0.89,27.6276,1023.67,1,Normal
17.68888889,0.5,20.4148,1021.42,1,Normal
7.155555556,1,1.8515,1017.15,1,Normal
9.983333333,0.99,2.737,1012.59,1,Normal
-2.222222222,0.96,20.93,1022.8,0,Cold
8.844444444,0.93,36.9173,1003.31,1,Normal
16.13333333,0.48,9.6117,1019.82,1,Normal
20.37222222,0.77,10.6743,1013.57,1,Warm
13.48888889,0.95,5.6672,1023.04,1,Normal
32.73333333,0.4,10.3845,1015.3,1,Warm
12.66111111,0.78,7.5509,1028.13,1,Normal
27.22222222,0.29,3.22,1024.2,1,Warm
15.00555556,0.93,3.3327,1011.91,1,Normal
6.111111111,0.41,8.05,1022.4,1,Normal
15.99444444,0.9,3.3005,1018.28,1,Normal
27.65555556,0.38,4.8783,1017.9,1,Warm
15.6,0.74,11.0124,1009.92,1,Normal
-2.922222222,0.93,9.1931,1031.4,0,Cold
12.12777778,0.93,6.0053,999.62,1,Normal
6.622222222,0.77,19.7869,1012.83,1,Normal
15.93888889,0.86,13.3791,1016.58,1,Normal
17.81111111,0.73,2.8658,1012.69,1,Normal
6.661111111,0.84,22.9747,1011.4,1,Normal
27.42777778,0.59,8.2593,1006.41,1,Warm
12.42777778,0.87,11.1895,1008.74,1,Normal
25.11666667,0.33,8.8067,1018.39,1,Warm
7.172222222,0.8,14.007,1015.34,1,Normal
-0.033333333,0.92,8.8228,1018.25,0,Cold
6.777777778,0.79,13.0088,1032.7,1,Normal
17.88333333,0.77,19.4649,1008.89,1,Normal
2.311111111,0.6,19.8352,1032.74,1,Cold
16.66666667,0.7,11.27,1014.6,1,Normal
34.77777778,0.27,12.7995,1011.69,1,Warm
11.04444444,0.54,4.83,1016.09,1,Normal
17.33888889,0.98,8.7262,1013.06,1,Normal
27.43888889,0.44,28.9317,1010.15,1,Warm
16.55,0.73,10.7548,1012.09,1,Normal
-1.161111111,0.92,12.2038,1014.68,0,Cold
-2.761111111,0.98,7.1806,1018.69,0,Cold
-0.277777778,0.86,0,1018.41,0,Cold
12.76666667,0.9,7.5026,1019.1,1,Normal
27.67222222,0.23,18.1286,1020.38,1,Warm
28.79444444,0.39,7.9534,1017.03,1,Warm
27.77777778,0.46,9.66,1017.4,1,Warm
15.57777778,0.89,10.6904,1018.66,1,Normal
7.777777778,0.72,6.5688,1025.25,1,Normal
28.91666667,0.51,16.583,1015.51,1,Warm
3.283333333,0.82,13.3147,1003.8,1,Cold
10.87777778,0.81,20.3021,1001.81,1,Normal
7.4,0.95,3.381,1015.78,1,Normal
18.88888889,0.65,9.66,1017.1,1,Warm
6.594444444,0.93,7.1001,1024.25,1,Normal
-1.666666667,0.92,14.49,1021.7,0,Cold
9.866666667,0.94,12.236,1015.01,1,Normal
22.10555556,0.6,26.4684,1016.34,1,Warm
7.266666667,0.71,16.9372,1022.31,1,Normal
16.98888889,0.56,4.669,1018.03,1,Normal
13.35555556,0.86,17.388,1005.83,1,Normal
16.09444444,0.72,25.2126,997.54,1,Normal
7.8,0.96,22.7815,1014.48,1,Normal
12.22222222,0.82,16.905,1009.5,1,Normal
35.11666667,0.25,15.9551,1013.37,1,Warm
24.75,0.47,15.134,1011.87,1,Warm
10.34444444,0.94,12.8639,1023.97,1,Normal
13.91111111,0.64,11.3505,1019.64,1,Normal
11.96666667,0.53,26.7582,1017.39,1,Normal
24.87222222,0.52,15.2306,1015.87,1,Warm
1.111111111,0.51,6.44,1029.9,1,Cold
10.67777778,0.88,11.1251,1021.58,1,Normal
7.272222222,0.96,5.796,1021.74,1,Normal
11.31666667,0.64,3.22,1021.95,1,Normal
9.75,0.84,34.132,1006.21,1,Normal
5.488888889,0.73,27.5793,1019.96,1,Normal
-4.344444444,0.99,10.3523,1020.83,0,Cold
0.605555556,0.95,9.499,1019.59,1,Cold
5.511111111,0.96,3.0751,1020.59,1,Normal
-2.15,0.88,12.6707,1031.21,0,Cold
-1.644444444,0.96,3.22,1022.14,0,Cold
7.938888889,0.88,9.2253,1022.86,1,Normal
4.75,0.86,10.143,1018.49,1,Normal
2.266666667,0.85,11.1251,1013.98,1,Cold
18.95555556,0.34,17.1465,1016.46,1,Warm
1.766666667,0.96,2.9946,1028.43,1,Cold
5.411111111,0.73,6.2951,1015.18,1,Normal
8.288888889,0.75,3.5742,1016.99,1,Normal
-2.772222222,0.92,6.4883,1011.73,0,Cold
12.96666667,0.87,6.0697,1017.9,1,Normal
23.88888889,0.38,8.05,1023.1,1,Warm
-0.022222222,0.99,5.9731,998.5,0,Cold
12.81111111,0.96,3.1234,1016.07,1,Normal
22.10555556,0.46,31.4755,1014.04,1,Warm
0.533333333,0.92,28.0623,1004.49,1,Cold
12.26111111,0.72,13.685,1007.54,1,Normal
8.888888889,0.89,12.88,990.8,1,Normal
4.933333333,0.86,4.2504,1021.34,1,Normal
3.794444444,1,14.1197,999.79,1,Cold
10.02222222,0.82,23.0713,1011.76,1,Normal
21.07222222,0.64,15.0535,1011.61,1,Warm
11.5,0.78,9.6117,1020.16,1,Normal
17.75555556,0.81,6.2951,1012.98,1,Normal
24.83333333,0.48,14.0875,1012.65,1,Warm
6.35,0.83,10.5938,1018.91,1,Normal
34.59444444,0.42,10.3362,1017.5,1,Warm
2.566666667,0.61,4.7012,1034.05,1,Cold
4.027777778,0.63,7.7763,1013.69,1,Cold
7.222222222,0.76,11.27,1016.6,1,Normal
5.116666667,0.81,9.2253,1004.72,1,Normal
1.038888889,0.93,15.778,1007.43,1,Cold
22.86111111,0.38,12.6224,1012.63,1,Warm
17.73333333,0.96,11.3666,1010.69,1,Normal
2.6,0.95,9.338,1027.63,1,Cold
13.62222222,0.85,1.3202,1015.37,1,Normal
2.733333333,0.76,15.6975,1016.66,1,Cold
24.95,0.5,10.8031,1014.96,1,Warm
20,0.68,16.0195,1014.51,1,Warm
14.07222222,0.66,4.6207,1016.69,1,Normal
4.066666667,0.99,4.4758,1016.4,1,Cold
22.41111111,0.84,6.44,1021.95,1,Warm
11.16111111,0.8,7.9051,1011.47,1,Normal
8.333333333,0.6,20.93,1007.3,1,Normal
6.788888889,0.96,3.1556,1014.65,1,Normal
9.894444444,0.86,13.524,1001.33,1,Normal
2.777777778,0.83,9.2897,1029.31,1,Cold
-8.838888889,0.84,7.3577,1012.82,0,Cold
13.2,0.85,3.5259,1011.69,1,Normal
18.79444444,0.48,2.9463,1026.03,1,Normal
-0.555555556,0.66,25.76,1016.4,0,Cold
13.91111111,0.77,12.1877,1011.06,1,Normal
27.10555556,0.47,7.8407,1014.65,1,Warm
27.76111111,0.46,9.2575,1011.66,1,Warm
2.15,0.86,8.8711,1026.72,1,Cold
24.88333333,0.68,20.8656,1006.34,1,Warm
7.338888889,0.96,11.9301,1011.69,1,Normal
-7.777777778,0.88,25.76,1004.9,0,Cold
5.066666667,0.7,33.0855,1022.31,1,Normal
24.65555556,0.5,11.4632,1009.77,1,Warm
16.28333333,0.85,3.22,1014.56,1,Normal
22.84444444,0.29,10.9158,1013.56,1,Warm
22.49444444,0.68,14.2646,1020.1,1,Warm
10.20555556,0.76,9.5312,1021.37,1,Normal
1.088888889,0.85,9.3702,1024.94,1,Cold
24.91111111,0.33,7.889,1022.16,1,Warm
16.58888889,0.78,5.3291,1020.22,1,Normal
10.95555556,0.72,9.5795,1020.21,1,Normal
14.23888889,0.81,10.8997,1005.91,1,Normal
8.911111111,1,4.9427,1022.27,1,Normal
27.52222222,0.47,19.7064,1013.41,1,Warm
7.872222222,0.83,13.8299,1018.77,1,Normal
5.916666667,0.71,17.2431,1026.13,1,Normal
18.92777778,0.19,12.1877,1025.88,1,Warm
9.483333333,0.96,23.989,996.43,1,Normal
30.04444444,0.34,7.9695,1010.63,1,Warm
8.738888889,0.77,12.3487,1020.1,1,Normal
8.761111111,0.83,3.542,1015.73,1,Normal
14.06666667,0.49,13.3952,1015.19,1,Normal
19.41666667,0.65,14.3773,1007.42,1,Warm
12.71666667,0.84,13.5401,1003.98,1,Normal
11.40555556,0.93,3.4454,1013.31,1,Normal
28.88333333,0.29,15.5204,1017.59,1,Warm
-1.827777778,0.78,10.8675,1025.36,0,Cold
8.333333333,0.8,11.27,1013.5,1,Normal
25.96666667,0.54,8.9355,1015.04,1,Warm
-3.888888889,0.74,12.88,1007.1,0,Cold
25.02222222,0.39,11.9462,1020.71,1,Warm
14.41666667,0.62,10.7226,1018.07,1,Normal
27.77777778,0.4,27.5632,1009.49,1,Warm
12.82222222,0.77,5.0393,1017.78,1,Normal
-1.083333333,0.78,33.5041,1020,0,Cold
18.33333333,0.93,6.4239,1011.61,1,Normal
6.111111111,0.93,9.66,1015.8,1,Normal
7.827777778,0.77,28.9478,1013.95,1,Normal
4.95,0.93,9.6761,1011.14,1,Normal
10.85,0.93,4.7495,1016.24,1,Normal
3.888888889,0.52,11.27,1016.4,1,Cold
-1.205555556,0.89,8.0178,1025.89,0,Cold
2.822222222,0.73,8.0661,1020.57,1,Cold
17.17777778,0.64,2.9624,1014.52,1,Normal
5.05,0.69,14.0714,1008.27,1,Normal
2.138888889,1,14.0392,1029.15,1,Cold
-12.77777778,0.76,11.27,1030.3,0,Cold
10.05,0.65,17.0016,1019.33,1,Normal
10.05,0.76,7.7441,1015.92,1,Normal
22.92777778,0.37,9.7888,1025.17,1,Warm
-0.266666667,0.93,9.2736,1020.48,0,Cold
16.10555556,0.87,9.2575,1016.62,1,Normal
8.266666667,0.96,3.5259,1011.66,1,Normal
3.916666667,0.92,5.1359,1027.32,1,Cold
27.22222222,0.39,4.2504,1014.78,1,Warm
16.36666667,0.85,19.159,1011.14,1,Normal
22.61666667,0.67,10.5616,1009.52,1,Warm
0.083333333,0.95,9.5312,1019.5,1,Cold
23.73888889,0.66,1.3202,1015.67,1,Warm
6.561111111,0.9,6.3917,1023.02,1,Normal
19.51111111,0.93,5.5384,1013.02,1,Warm
9.95,0.93,14.007,1014.04,1,Normal
7.85,0.83,15.5204,1013.96,1,Normal
14.90555556,0.45,3.1556,1029.6,1,Normal
23.8,0.86,3.22,1013.76,1,Warm
-3.861111111,1,3.2683,1018.49,0,Cold
28.37222222,0.46,13.9587,1008.48,1,Warm
10.91666667,0.9,9.0804,1021.76,1,Normal
7.15,0.87,5.5545,1014.59,1,Normal
6.927777778,0.73,13.1376,1017.6,1,Normal
24.8,0.49,20.7046,1009.63,1,Warm
19.65,0.61,10.3362,1013.13,1,Warm
7.683333333,0.84,4.2665,1023.03,1,Normal
8.388888889,0.88,13.8782,1010.89,1,Normal
15,0.83,13.8621,1019.24,1,Normal
21.06111111,0.38,17.4524,1010.17,1,Warm
0.027777778,0.96,12.397,1014.9,1,Cold
7.711111111,0.89,14.2646,1021.95,1,Normal
23.88888889,0.24,8.05,1013.8,1,Warm
9.933333333,0.77,6.0053,1023.56,1,Normal
9.444444444,0.63,3.22,1016,1,Normal
4.294444444,0.85,12.1877,1019.64,1,Cold
30.11111111,0.34,10.2557,1011.43,1,Warm
13.67777778,0.94,8.1949,1018.33,1,Normal
10.92222222,0.32,24.9389,1013.9,1,Normal
8.822222222,0.72,23.2967,1022.4,1,Normal
27.16666667,0.56,4.7817,1015.43,1,Warm
17.03888889,0.9,6.2951,1010.59,1,Normal
20.92777778,0.5,15.3111,998.87,1,Warm
12.15555556,0.83,3.1878,1014.39,1,Normal
32.02777778,0.37,10.0464,1015.19,1,Warm
21.08888889,0.54,0.6762,1031.05,1,Warm
16.08333333,0.39,13.524,1024.93,1,Normal
-4.994444444,0.93,2.4311,1037.43,0,Cold
5.072222222,0.92,10.9319,1010.32,1,Normal
18.91111111,0.9,18.998,1010.67,1,Warm
7.994444444,0.77,10.4328,1018.43,1,Normal
-11.16111111,0.91,3.22,1025.9,0,Cold
7.777777778,0.96,12.88,1018,1,Normal
31.06111111,0.29,11.3183,1011.81,1,Warm
25.00555556,0.49,8.8711,1011.2,1,Warm
2.077777778,0.8,11.4793,1020.32,1,Cold
3.75,0.83,10.6904,1019.76,1,Cold
16.11111111,0.44,24.15,1024.5,1,Normal
5.094444444,0.88,3.22,1027.72,1,Normal
13.88888889,0.93,3.22,1014.7,1,Normal
28.33888889,0.4,10.6099,1009.2,1,Warm
7.25,0.86,2.7853,1023.47,1,Normal
-0.022222222,0.85,4.7012,1032.1,0,Cold
21.51111111,0.76,5.2003,1017.41,1,Warm
22.34444444,0.29,16.1644,1014.77,1,Warm
1.088888889,0.92,9.6117,1009.56,1,Cold
7.461111111,0.99,4.9266,1019.83,1,Normal
-0.555555556,0.85,14.49,1017.5,0,Cold
-11.80555556,0.91,5.1198,1013.57,0,Cold
-7.122222222,0.96,2.7209,1027.86,0,Cold
6.633333333,0.86,3.5742,1018.03,1,Normal
22.61111111,0.69,13.524,1014.18,1,Warm
-1.222222222,0.92,3.0268,1027.64,0,Cold
18.81666667,0.74,24.6008,1008.47,1,Normal
27.82777778,0.35,13.1698,1017.02,1,Warm
32.22222222,0.33,7.3577,1015.69,1,Warm
27.77777778,0.46,12.4936,1009.95,1,Warm
6.111111111,0.93,11.27,1024.7,1,Normal
6.016666667,0.79,23.7475,994.75,1,Normal
19.33888889,0.7,7.3255,1008.55,1,Warm
13.52777778,0.7,2.0769,1021.08,1,Normal
7.644444444,0.89,2.7853,1026.25,1,Normal
11.23333333,0.76,10.4006,1019.71,1,Normal
13.86111111,0.38,2.254,1009.27,1,Normal
18.77777778,0.69,9.5312,1016.36,1,Normal
28.67777778,0.59,2.4472,1013.23,1,Warm
7.044444444,0.58,9.8371,1024.57,1,Normal
13.68888889,0.83,28.4326,995.3,1,Normal
-3.916666667,0.85,0,1032.96,0,Cold
-4.977777778,0.89,6.44,1040.87,0,Cold
-5,0.84,8.05,1041.4,0,Cold
0.616666667,0.94,9.6439,1020.01,1,Cold
1.144444444,0.93,13.0571,1007.8,1,Cold
5.405555556,0.78,14.168,1013.73,1,Normal
9.044444444,0.92,7.9856,1016.88,1,Normal
15.13888889,0.86,3.4132,1013.73,1,Normal
4.988888889,0.98,5.2808,1025.74,1,Normal
11.91111111,0.68,9.2253,1020.05,1,Normal
26.00555556,0.35,15.0535,1013.02,1,Warm
17.87222222,0.69,9.5956,1012.47,1,Normal
11.16111111,0.66,24.0051,0,1,Normal
17.35,0.9,5.474,1010.64,1,Normal
23.93333333,0.36,21.6062,1009.66,1,Warm
24.84444444,0.55,2.093,1019.99,1,Warm
32.63888889,0.32,7.728,1013.14,1,Warm
17.73333333,0.94,3.542,1011.84,1,Normal
10.85,0.72,3.703,1013.98,1,Normal
10.51666667,0.87,15.9873,1019.49,1,Normal
7.288888889,0.93,3.4293,1021.44,1,Normal
23.88888889,0.48,8.6457,0,1,Warm
21.03888889,0.57,4.6368,1021.42,1,Warm
6.15,0.74,5.7155,1005.81,1,Normal
7.822222222,0.83,9.4507,1022.89,1,Normal
18.79444444,0.9,3.2039,1016.12,1,Normal
18.76666667,0.67,12.6868,1018.8,1,Normal
22.74444444,0.35,24.5203,1005.45,1,Warm
19.84444444,0.64,3.9606,1023.6,1,Warm
18.78888889,0.71,9.9659,1020.99,1,Normal
27.61111111,0.53,19.9479,1009.51,1,Warm
9.466666667,0.65,14.0231,1011.79,1,Normal
12.3,0.73,11.3988,0,1,Normal
6.227777778,0.69,9.338,1028.6,1,Normal
26.12777778,0.54,12.8478,1013.26,1,Warm
12.65,0.73,15.778,1018.71,1,Normal
28.85,0.36,20.7046,1014.95,1,Warm
15.13333333,0.95,11.0929,1012.76,1,Normal
12.29444444,0.37,18.7565,1021.49,1,Normal
12.84444444,0.44,12.5258,1026.75,1,Normal
9.444444444,0.96,3.22,1019.9,1,Normal
5.383333333,0.86,16.8245,1013.36,1,Normal
0.166666667,0.91,13.5723,1018.51,1,Cold
-4.905555556,0.81,8.1788,1022.02,0,Cold
8.977777778,0.7,12.8317,1014.46,1,Normal
17.32222222,0.92,9.3702,1019.78,1,Normal
4.955555556,0.93,15.6653,1036.08,1,Normal
20.43888889,0.61,5.8765,1016.16,1,Warm
7.777777778,0.69,43.0353,976.61,1,Normal
22.26666667,0.52,7.5348,1017.69,1,Warm
2.138888889,0.8,36.2411,1010.24,1,Cold
35,0.28,12.9444,1006.47,1,Warm
9.083333333,0.83,2.8336,1007.62,1,Normal
23.84444444,0.61,14.329,1023.09,1,Warm
8.888888889,0.89,0,1009.8,1,Normal
7.627777778,0.86,6.5205,1017.15,1,Normal
-1.738888889,0.95,7.5348,1038.05,0,Cold
